name,annotated ≥ 20,annotated_ratio,py_code_loc,pylint_convention_msg_norm,pylint_refactor_msg_norm,pylint_warning_msg_norm,pylint_error_msg_norm,cyclomatic_complexity_norm,cognitive_complexity_norm,bug_score_norm
data-apis/array-api,TRUE,0.869932432,355,2.374647887,0.002816901,0.943661972,0.025352113,0.177464789,0.014084507,0.064788732
VirtusLab/pandas-stubs,TRUE,0.705956907,1161,0.389319552,0.007751938,0.344530577,0,0.012919897,0.007751938,0.016365202
cjolowicz/nox-poetry,TRUE,0.606060606,920,0.011956522,0.006521739,0.067391304,0.020652174,0.169565217,0.181521739,0.022826087
pedrorrivero/qrand,TRUE,0.605604921,2374,0.109098568,0.01811289,0.044650379,0.0210615,0.255686605,0.125947767,0.01558551
BnademOverflow/FRDP,TRUE,0.593073593,532,0.163533835,0.028195489,0.030075188,0.090225564,0.12593985,0.127819549,0.001879699
tiangolo/issue-manager,TRUE,0.592592593,136,0.095588235,0.044117647,0.110294118,0.044117647,0.264705882,0.625,0.036764706
CLARIN-PL/embeddings,TRUE,0.561607143,10968,0.084609774,0.024617068,0.041301969,0.028172867,0.138767323,0.087162655,0.006199854
qweeze/rstream,TRUE,0.549060543,2022,0.127596439,0.010880317,0.007418398,0.003956479,0.161226508,0.161226508,0.002472799
input-output-hk/cardano-clusterlib-py,TRUE,0.535289453,2775,0.012972973,0.011531532,0.040720721,0,0.176936937,0.263063063,0.006126126
Vaccine-Hunters-Canada/VaxFinder-backend,TRUE,0.522346369,3310,0.093353474,0.021752266,0.050755287,0.018731118,0.135347432,0.158308157,0.00694864
systemd/mkosi,TRUE,0.521833385,7878,0.133790302,0.014089871,0.012820513,0.003681137,0.257171871,0.45049505,0.028433613
jingw/pyhdfs,TRUE,0.497175141,1069,0.12160898,0.006548176,0.009354537,0.003741815,0.260056127,0.127221703,0.006548176
plugwise/plugwise-beta,TRUE,0.490125673,3851,0.002856401,0.002337055,0.017398078,0.118410802,0.130615425,0.100493378,0.049337834
imankulov/linguee-api,TRUE,0.48534202,963,0.05815161,0.026998962,0.004153686,0.016614746,0.092419522,0.066458982,0.002076843
