name,annotated ≥ 20,annotated_ratio,py_code_loc,pylint_convention_msg_norm,pylint_refactor_msg_norm,pylint_warning_msg_norm,pylint_error_msg_norm,cyclomatic_complexity_norm,cognitive_complexity_norm,bug_score_norm
fastai/workflows,FALSE,0.428571429,28,0.464285714,0.035714286,0.142857143,0.285714286,0.285714286,0.214285714,0.035714286
warpdotdev/themes,FALSE,0.375,100,0.09,0.04,0.07,0.01,0.12,0.22,0.07
tiangolo/uvicorn-gunicorn-fastapi-docker,FALSE,0.280701754,157,0.108280255,0.006369427,0.01910828,0.038216561,0.25477707,0.159235669,0.012738854
behnambm/nordvpn-checker,FALSE,0.238095238,135,0.066666667,0.022222222,0.066666667,0,0.207407407,0.548148148,0.02962963
LucaCappelletti94/pygifsicle,FALSE,0.219512195,159,0.188679245,0,0.018867925,0.018867925,0.182389937,0.264150943,0.031446541
pyjarrett/programming-with-ada,FALSE,0.208333333,51,0.392156863,0,0.019607843,0,0.156862745,0.098039216,0.039215686
NagariaHussain/doppio,FALSE,0.114285714,430,0.118604651,0,0.330232558,0.009302326,0.090697674,0.060465116,0.030232558
wavefrontshaping/slmPy,FALSE,0.094936709,292,0.489726027,0.030821918,0.082191781,0,0.219178082,0.297945205,0.006849315
Coffee-fueled-deadlines/OSRSBytes,FALSE,0.094527363,357,0.456582633,0.044817927,0.87394958,0.00280112,0.240896359,0.378151261,0.008403361
click-contrib/click-didyoumean,FALSE,0.088235294,159,0.182389937,0.025157233,0.044025157,0.031446541,0.075471698,0.037735849,0.006289308
lorey/social-media-profiles-regexs,FALSE,0.078947368,89,0.168539326,0,0.112359551,0.033707865,0.258426966,0.471910112,0.02247191
iBrushC/animextras,FALSE,0.065217391,76,0.407894737,0.013157895,0.026315789,0.039473684,1.526315789,3.052631579,0.052631579
openstates/pyopenstates,FALSE,0.057915058,536,0.125,0.026119403,0.013059701,0.003731343,0.222014925,0.285447761,0.044776119
nautobot/nautobot-plugin-nornir,FALSE,0.049618321,256,0.046875,0.00390625,0.01171875,0.05078125,0.37109375,0.5078125,0.0078125
python273/telegraph,FALSE,0.043478261,704,0.146306818,0.025568182,0.018465909,0.004261364,0.224431818,0.237215909,0.004261364
rtfol/aiohttp-sse-client,FALSE,0.043062201,625,0.088,0.0112,0.04,0.008,0.232,0.2176,0.0016
kiwi0fruit/pyppdf,FALSE,0.040909091,1634,0.107099143,0.025703794,0.033047736,0.011015912,0.160342717,0.451040392,0.00244798
rezakamalifard/persian,FALSE,0.038461538,101,0.237623762,0,0,0,0.128712871,0,0.059405941
LameLemon/archive-chan,FALSE,0.03654485,604,0.144039735,0.01986755,0.009933775,0.018211921,0.167218543,0.241721854,0.004966887
ChristopherRogers1991/mycroft_routine_skill,FALSE,0.035856574,404,0.101485149,0.01980198,0.024752475,0.027227723,0.242574257,0.247524752,0
isabellaalstrom/sensor.krisinformation,FALSE,0.035031847,620,0.209677419,0.012903226,0.120967742,0.025806452,0.201612903,0.306451613,0.012903226
ev3dev/ev3dev-lang-python-demo,FALSE,0.031634446,1439,0.138985407,0.017373176,0.046560111,0.04447533,0.194579569,0.30437804,0.001389854
cathiele/homeassistant-goecharger,FALSE,0.031531532,507,0.201183432,0.023668639,0.063116371,0.039447732,0.08678501,0.418145957,0.061143984
beancount/smart_importer,FALSE,0.031390135,441,0.006802721,0.009070295,0.009070295,0.040816327,0.249433107,0.210884354,0.068027211
XayOn/katcr,FALSE,0.027272727,413,0.138014528,0.012106538,0.026634383,0.036319613,0.242130751,0.147699758,0.024213075
scikit-build/cmake-python-distributions,FALSE,0.025297619,2202,0.120345141,0.020435967,0.027247956,0.005903724,0.153950954,0.371480472,0.03133515
swingerman/ha-dual-smart-thermostat,FALSE,0.024242424,1294,0.01236476,0.014683153,0.029366306,0.034003091,0.217156105,0.260432767,0.007727975
MBrouns/timeseers,FALSE,0.023738872,874,0.21395881,0.028604119,0.064073227,0.020594966,0.167048055,0.109839817,0.016018307
MrPowers/quinn,FALSE,0.022099448,1185,0.173839662,0.000843882,0.039662447,0.069198312,0.05907173,0.034599156,0.000843882
opusonesolutions/asciigraf,FALSE,0.02173913,923,0.108342362,0.007583965,0.021668472,0.026002167,0.205850488,0.149512459,0.008667389
nicksawhney/bernie-sits,FALSE,0.02173913,98,0.265306122,0,0.265306122,0.040816327,0.142857143,0.204081633,0.040816327
yoonsikp/pycubelut,FALSE,0.019607843,153,0.137254902,0.058823529,0.065359477,0.006535948,0.241830065,0.68627451,0.019607843
Schrodinger-Hat/ImageGoNord-pip,FALSE,0.019512195,336,0.235119048,0.026785714,0.148809524,0.011904762,0.25297619,0.279761905,0.05952381
echonet/dynamic,FALSE,0.018691589,1177,0.269328802,0.028887001,0.01104503,0.016142736,0.169073917,0.406117247,0.017841971
andli/pymkm,FALSE,0.016330451,2549,0.096900745,0.03883876,0.067869753,0.013338564,0.198116909,0.393879953,0.033738721
karellen/geventmp,FALSE,0.015384615,1022,0.192759295,0.007827789,0.072407045,0.040117417,0.174168297,0.255381605,0.005870841
ooreilly/mydocstring,FALSE,0.015,1012,0.156126482,0.0256917,0.040513834,0.003952569,0.317193676,0.309288538,0.003952569
borntohonk/SigPatches,FALSE,0.014492754,780,0.311538462,0.085897436,0.044871795,0.001282051,0.085897436,0.153846154,0.001282051
borntohonk/SigPatches,FALSE,0.014492754,780,0.311538462,0.085897436,0.044871795,0.001282051,0.085897436,0.153846154,0.001282051
mavrikkk/ha_kettler,FALSE,0.014396456,1358,0.262886598,0.032400589,0.095729013,0.025036819,0.330633284,0.50736377,0
kerolloz/codeforcify,FALSE,0.013452915,512,0.16796875,0.009765625,0.03515625,0.009765625,0.1484375,0.185546875,0.07421875
mlowijs/tesla_api,FALSE,0.012244898,318,0.264150943,0,0.053459119,0.003144654,0.336477987,0.191823899,0.006289308
wxllow/applemusicrp,FALSE,0.012195122,224,0.138392857,0.013392857,0.0625,0.071428571,0.205357143,0.392857143,0.022321429
qualisys/qualisys_python_sdk,FALSE,0.012081784,1863,0.044551798,0.012345679,0.012345679,0.003220612,0.148684917,0.169082126,0.002683843
RandolphVI/Hierarchical-Multi-Label-Text-Classification,FALSE,0.011583012,956,0.205020921,0.025104603,0.040794979,0.020920502,0.116108787,0.267782427,0
vasusen-code/SaveRestrictedContentBot,FALSE,0.011428571,70,0.228571429,0,0.042857143,0.057142857,1.228571429,3.6,0
vasusen-code/SaveRestrictedContentBot,FALSE,0.011428571,70,0.228571429,0,0.042857143,0.057142857,1.228571429,3.6,0
ankicommunity/anki-sync-server,FALSE,0.010928962,2391,0.212463404,0.023421163,0.076955249,0.025094103,0.250104559,0.287745713,0.015474697
iTeam-S/Ampalibe,FALSE,0.010840108,881,0.172531215,0.012485812,0.020431328,0.015891033,0.181611805,0.293984109,0.017026107
IBM/ibm-spectrum-scale-bridge-for-grafana,FALSE,0.010791367,1904,0.352415966,0.021533613,0.034663866,0.010504202,0.349789916,0.50262605,0.013655462
guyskk/validr,FALSE,0.00972973,2887,0.145826117,0.012469692,0.015240734,0.019397298,0.20228611,0.301350883,0.026671285
jeppe742/DeltaLakeReader,FALSE,0.009633911,1303,0.143514965,0.02762855,0.006139678,0.020721412,0.202609363,0.098234843,0.001534919
Sleepingpirates/Invitarr,FALSE,0.009478673,523,0.265774379,0.036328872,0.10707457,0.036328872,0.193116635,0.567877629,0.047801147
bagrat/calm,FALSE,0.009433962,1173,0.098891731,0.028985507,0.056265985,0.006820119,0.196078431,0.170502984,0.000852515
erikwijmans/Pointnet2_PyTorch,FALSE,0.009433962,794,0.122166247,0.040302267,0.039042821,0.060453401,0.181360202,0.159949622,0.018891688
nemocrys/pyelmer,FALSE,0.008941878,3319,0.106658632,0.025308828,0.040674902,0.004218138,0.178969569,0.340765291,0.00271166
linzhiming0826/sanic-restful,FALSE,0.008650519,904,0.091814159,0.050884956,0.034292035,0.022123894,0.287610619,0.496681416,0.005530973
pmeletis/panoptic_parts,FALSE,0.008012821,2123,0.154498351,0.041921809,0.760244936,0.0089496,0.215732454,0.415920867,0.004710316
imperva/incapsula-cli,FALSE,0.007897335,2893,0.363982026,0.066021431,0.025578984,0.002419634,0.214310404,0.434497062,0.001382648
StanislavUshakov/ArtificialImmuneSystem,FALSE,0.00754717,841,0.107015458,0.021403092,0.043995244,0,0.261593341,0.324613555,0.003567182
camall3n/onager,FALSE,0.007117438,1201,0.153205662,0.018318068,0.0316403,0.005828476,0.213988343,0.301415487,0.008326395
s0nik42/lotus-farcaster,FALSE,0.007058824,797,0.006273526,0.00250941,0.028858218,0.003764115,0.199498118,0.43663739,0.003764115
ChristopherRogers1991/mycroft-hue,FALSE,0.007042254,320,0.1125,0.025,0.025,0.025,0.215625,0.534375,0.053125
jamasoftware-ps/py-jama-rest-client,FALSE,0.006795017,1148,0.201219512,0.011324042,0.051393728,0.003484321,0.202090592,0.155923345,0.00261324
neu-vi/ezflow,FALSE,0.006148867,6286,0.103404391,0.040089087,0.011772192,0.019408209,0.152083996,0.208240535,0.005090678
IsHYuhi/ST-CGAN_Stacked_Conditional_Generative_Adversarial_Networks,FALSE,0.006147541,752,0.309840426,0.050531915,0.089095745,0.03856383,0.156914894,0.231382979,0.006648936
IsHYuhi/ST-CGAN_Stacked_Conditional_Generative_Adversarial_Networks,FALSE,0.006147541,752,0.309840426,0.050531915,0.089095745,0.03856383,0.156914894,0.231382979,0.006648936
shortbloke/home_assistant_config,FALSE,0.005586592,1512,0.068783069,0.017195767,0.020502646,0.017195767,0.222222222,0.30952381,0.011904762
judev1/FBot,FALSE,0.005350455,3456,0.210358796,0.022569444,0.0390625,0.024594907,0.235821759,0.45630787,0.015914352
tayler6000/pyVoIP,FALSE,0.004790419,1447,0.469246717,0.03040774,0.890808569,0.02211472,0.234277816,0.442294402,0.007601935
