name,annotated_assign_count,annotated_func_params_count,annotated_func_returns_count,total_assign_count,total_func_params_count,total_func_returns_count,unannotated_assign_count,unannotated_func_params_count,unannotated_func_returns_count,py_code_loc,py_code_loc_ratio,py_docstring_loc,py_docstring_loc_ratio,py_comment_loc,py_comment_loc_ratio,py_empty_loc,py_empty_loc_ratio,pylint_convention_msg,pylint_refactor_msg,pylint_warning_msg,pylint_error_msg,py_non_empty_loc,pylint_score,cyclomatic_complexity,cognitive_complexity,bug_score
Spooky-Manufacturing/8Q,0,0,0,41,0,0,41,0,0,92,0.3566,4,0.0155,104,0.4031,58,0.2248,18,0,14,8,200,0.89,3,0,2
UcarLab/AMULET,0,0,0,275,65,19,275,65,19,545,0.555,197,0.2006,61,0.0621,179,0.18230000000000002,208,32,35,1,803,4.66,93,264,3
OutlierVentures/ANVIL,0,26,1,437,194,123,437,168,122,1214,0.6444,217,0.1152,91,0.0483,362,0.19210000000000002,426,46,143,22,1522,3.12,128,238,24
adafruit/Adafruit_Python_CharLCD,0,0,0,194,123,50,194,123,50,814,0.5929,175,0.1275,198,0.1442,186,0.1355,121,24,11,5,1187,7.41,107,186,5
yousefissa/Adidas-Sitekey,0,0,0,57,6,9,57,6,9,141,0.6746,12,0.0574,19,0.0909,37,0.177,42,4,30,3,172,2.89,23,26,0
iTeam-S/Ampalibe,0,2,2,186,126,57,186,124,55,881,0.568,448,0.2888,20,0.0129,202,0.13019999999999998,152,11,18,14,1349,5.15,160,259,15
sobjornstad/AnkiLPCG,15,52,26,182,119,61,167,67,35,760,0.5793,281,0.21420000000000003,85,0.06480000000000001,186,0.1418,66,17,34,13,1126,6.69,217,112,10
Anrijs/Aranet4-Python,32,16,3,268,78,48,236,62,45,812,0.7123,129,0.11320000000000001,28,0.0246,171,0.15,86,14,25,6,969,7.54,122,193,6
M0tHs3C/Argo,0,0,0,378,46,41,378,46,41,1090,0.9561,20,0.0175,6,0.0053,24,0.021099999999999997,424,82,165,27,1116,1.67,258,959,7
StanislavUshakov/ArtificialImmuneSystem,0,4,0,270,164,96,270,160,96,841,0.6215999999999999,309,0.2284,25,0.018500000000000003,178,0.1316,90,18,37,0,1175,7.97,220,273,3
